date,tweet_sentiment,sentiment_weighted,tweets,attention
3/9/2016,-0.02515873,0.006825397,7,5
3/10/2016,-0.042857143,-0.042857143,7,3
3/11/2016,0.074691358,0.25617284,9,16
3/12/2016,0.025,0.025,4,0
3/13/2016,0,0,1,0
3/14/2016,0.003990642,0.003990642,17,3
3/15/2016,-0.05,-0.077272727,11,6
3/16/2016,0.015625,0.015625,16,16
3/17/2016,0.116071429,0.226190476,12,13
3/18/2016,0.094299051,0.30801959,11,17
3/19/2016,0,0,2,0
3/20/2016,,,0,0
3/21/2016,-0.015196078,-0.015196078,17,8
3/22/2016,0.05,0.05,14,12
3/23/2016,0.003235294,0.003235294,17,7
3/24/2016,-0.006140351,0.033333333,19,22
3/25/2016,0.158928571,0.201785714,14,3
3/26/2016,0.12,4.8,5,39
3/27/2016,,,0,0
3/28/2016,0,0,6,1
3/29/2016,0.025,0.025,10,3
3/30/2016,-0.027777778,-0.027777778,9,0
3/31/2016,0.044444444,0.044444444,9,354
4/1/2016,0.034449405,0.011532738,16,4
4/2/2016,0,0,3,0
4/3/2016,,,0,0
4/4/2016,0.055555556,0.055555556,3,1
4/5/2016,0.055,0.508888889,15,22
4/6/2016,0.042307692,0.069230769,13,6
4/7/2016,0.008333333,0.020512821,13,9
4/8/2016,-0.018939394,-0.007575758,11,5
4/9/2016,0,0,3,0
4/10/2016,,,0,0
4/11/2016,0.025,0.05,4,2
4/12/2016,0.035294118,0.064705882,17,6
4/13/2016,-0.020833333,-0.025,12,5
4/14/2016,0.032894737,0.092105263,19,53
4/15/2016,-0.008633207,-0.008633207,16,6
4/16/2016,0,0,2,0
4/17/2016,0,0,1,0
4/18/2016,0.005769231,0.005769231,13,2
4/19/2016,0.029777778,0.040444444,15,6
4/20/2016,-0.121296296,-0.389814815,9,6
4/21/2016,0.027211934,0.038323045,18,8
4/22/2016,0.025252525,-3.083838384,11,93
4/23/2016,0.027777778,0.027777778,3,0
4/24/2016,-0.03359375,-0.03359375,4,0
4/25/2016,0.063125,0.119375,8,3
4/26/2016,-0.002083333,-0.002083333,12,4
4/27/2016,0.005769231,0.005769231,13,3
4/28/2016,0,0,4,0
4/29/2016,0.068181818,0.068181818,11,21
4/30/2016,0,0,1,1
5/1/2016,0,0,1,0
5/2/2016,0,0,1,0
5/3/2016,0.11875,0.11875,8,322
5/4/2016,0.134615385,0.567307692,13,14
5/5/2016,0,0,4,0
5/6/2016,0.007908163,0.016836735,7,3
5/7/2016,0,0,1,0
5/8/2016,0,0,1,0
5/9/2016,0.066071429,0.530357143,7,11
5/10/2016,0.015151515,0.015151515,11,6
5/11/2016,0.066666667,0.266666667,8,7
5/12/2016,-0.014141414,-0.014141414,11,3
5/13/2016,0.084217172,0.400883838,12,45
5/14/2016,0,0,1,1
5/15/2016,0,0,1,2
5/16/2016,0,0,13,3
5/17/2016,0.008333333,0.025,4,5
5/18/2016,-0.02962963,-0.361111111,9,27
5/19/2016,0.035,0.035,10,5
5/20/2016,0.026068376,0.052564103,13,14
5/21/2016,0,0,1,0
5/22/2016,0,0,1,0
5/23/2016,0,0,8,20
5/24/2016,-0.006481481,-0.060185185,9,7
5/25/2016,0.074300412,0.27218107,27,46
5/26/2016,-0.00297619,0.004166667,14,5
5/27/2016,0.193981481,1.018981481,12,28
5/28/2016,0,0,2,0
5/29/2016,0.1640625,1.8359375,4,28
5/30/2016,-0.116283422,-0.262379679,17,23
5/31/2016,0.018717949,0.017692308,13,36
6/1/2016,0.097948718,0.80974359,13,65
6/2/2016,0.099166667,0.173333333,10,16
6/3/2016,0.027941176,0.527941176,17,20
6/4/2016,0,0,1,0
6/5/2016,,,0,0
6/6/2016,0.096875,0.096875,12,2
6/7/2016,-0.046875,-0.046875,4,2
6/8/2016,-0.017361111,-0.017361111,6,1
6/9/2016,0.00487013,0.00487013,14,1
6/10/2016,0.2,0.4,1,1
6/11/2016,0,0,1,0
6/12/2016,-0.2625,-0.2625,1,0
6/13/2016,0.1,1.483333333,12,28
6/14/2016,0.018849206,0.028373016,21,10
6/15/2016,0.014075538,0.19040404,23,23
6/16/2016,0.11171875,0.31171875,8,2
6/17/2016,0.025,0.025,5,1
6/18/2016,0,0,2,1
6/19/2016,0.125,3.875,1,30
6/20/2016,-0.016666667,-0.033333333,3,2
6/21/2016,0.081188811,0.812657343,13,33
6/22/2016,-0.017857143,-0.017857143,5,1
6/23/2016,0.098065476,0.106994048,14,1
6/24/2016,0.133137255,0.700427807,17,72
6/25/2016,0.037045455,0.037045455,2,1
6/26/2016,0.011111111,0.011111111,3,0
6/27/2016,0.061972611,0.328799534,26,46
6/28/2016,-0.000685426,-0.019408369,14,26
6/29/2016,-0.008176768,-0.003853535,10,1
6/30/2016,-0.015104167,-0.056770833,24,10
7/1/2016,0.121388889,1.130277778,12,55
7/2/2016,0,0,2,1
7/3/2016,0,0,1,0
7/4/2016,-0.028778409,-0.078920455,8,8
7/5/2016,0.068198653,0.068198653,36,16
7/6/2016,0.033333333,0.189583333,16,48
7/7/2016,0.064878788,0.050989899,15,5
7/8/2016,0.125,0.732142857,7,21
7/9/2016,-0.083333333,-1.416666667,2,16
7/10/2016,,,0,0
7/11/2016,0.000710227,0.000710227,8,3
7/12/2016,-0.037710438,-0.037710438,11,40
7/13/2016,0,0,7,0
7/14/2016,-0.25,-0.25,4,0
7/15/2016,-0.028819444,-0.046875,12,2
7/16/2016,0,0,1,0
7/17/2016,0,0,3,0
7/18/2016,0.065688941,0.557891738,13,35
7/19/2016,-0.092592593,-8.981481481,9,119
